iterations,first loss function,second loss function,third loss function,norm of d,measure of Pareto stationarity
121,0.5628467798233032,0.04544978216290474,0.044234514236450195,1.0,0.06225652992725372
122,0.5624573826789856,0.0451674647629261,0.043922677636146545,1.0,0.061566997319459915
123,0.5620782971382141,0.04488770663738251,0.04361310973763466,0.9999999403953552,0.06083788350224495
124,0.5617089867591858,0.04461066424846649,0.0433058962225914,1.0,0.06007560342550278
125,0.561349093914032,0.04433650150895119,0.043001215904951096,1.0,0.05928489565849304
126,0.5609982013702393,0.04406534880399704,0.04269924387335777,1.0,0.05846836045384407
127,0.5606558918952942,0.04379737004637718,0.04240007326006889,1.0,0.0576351024210453
128,0.5603218078613281,0.043532680720090866,0.04210386797785759,1.0,0.05678607523441315
129,0.5599955916404724,0.043271418660879135,0.04181070998311043,1.0,0.05592736601829529
130,0.5596767067909241,0.04301370307803154,0.04152074456214905,1.0,0.05506657063961029
131,0.5593647956848145,0.042759619653224945,0.04123404249548912,1.0,0.05420037358999252
132,0.5590595006942749,0.04250927269458771,0.04095068573951721,1.0,0.05333903059363365
133,0.5587603449821472,0.0422627218067646,0.04067075997591019,1.0,0.05248479172587395
134,0.5584670305252075,0.0420200377702713,0.040394291281700134,1.0,0.05163537710905075
135,0.5581793189048767,0.041781261563301086,0.04012134298682213,1.0,0.050793055444955826
136,0.5578966736793518,0.04154643788933754,0.03985195979475975,0.9999999403953552,0.04996444657444954
137,0.5576189160346985,0.04131557419896126,0.0395861379802227,0.9999999403953552,0.04914979264140129
138,0.5573456883430481,0.041088685393333435,0.03932388126850128,1.0,0.04834899678826332
139,0.5570767521858215,0.04086575657129288,0.039065178483724594,1.0,0.04756399244070053
140,0.5568116903305054,0.040646784007549286,0.038810018450021744,1.0,0.04679408296942711
141,0.5565503835678101,0.04043174535036087,0.03855833038687706,1.0,0.0460439957678318
142,0.5562925934791565,0.04022057726979256,0.038310106843709946,1.0,0.04531092196702957
143,0.5560380220413208,0.04001324996352196,0.03806528076529503,1.0,0.04459288716316223
144,0.5557864904403687,0.03980972245335579,0.03782382979989052,1.0,0.04389457404613495
145,0.5555378198623657,0.039609942585229874,0.03758568316698074,1.0,0.04321315139532089
146,0.5552918910980225,0.039413828402757645,0.03735078126192093,1.0,0.042549408972263336
147,0.5550483465194702,0.03922133892774582,0.037119060754776,1.0,0.04190203920006752
148,0.5548072457313538,0.03903238847851753,0.0368904285132885,1.0,0.041272517293691635
149,0.554568350315094,0.038846906274557114,0.03666485473513603,0.9999999403953552,0.040660612285137177
150,0.5543314814567566,0.03866482526063919,0.03644220903515816,0.9999999403953552,0.04006578028202057
151,0.5540965795516968,0.0384860634803772,0.03622245043516159,1.0,0.039486464112997055
152,0.5538633465766907,0.038310546427965164,0.03600545972585678,1.0,0.03892478719353676
153,0.5536320209503174,0.03813818842172623,0.03579118847846985,1.0,0.03837636485695839
154,0.5534022450447083,0.03796892613172531,0.035579562187194824,1.0,0.037843454629182816
155,0.5531739592552185,0.03780267760157585,0.03537048399448395,0.9999999403953552,0.037326179444789886
156,0.5529471039772034,0.03763936460018158,0.035163912922143936,1.0,0.03682325407862663
157,0.5527215600013733,0.037478916347026825,0.03495974838733673,0.9999998807907104,0.03633489832282066
158,0.5524973273277283,0.037321239709854126,0.03475791960954666,0.9999999403953552,0.03585842624306679
159,0.5522742867469788,0.03716627135872841,0.03455834090709686,0.9999999403953552,0.0353948250412941
160,0.5520522594451904,0.0370139554142952,0.034360963851213455,1.0,0.03494538366794586
161,0.5518313050270081,0.03686420992016792,0.03416570648550987,0.9999998807907104,0.034506868571043015
162,0.5516114830970764,0.03671696409583092,0.033972494304180145,0.9999998807907104,0.03408041223883629
163,0.5513924956321716,0.036572154611349106,0.03378128632903099,1.0,0.03366507217288017
164,0.5511744022369385,0.03642970696091652,0.03359200432896614,1.0,0.033261895179748535
165,0.5509570837020874,0.03628957271575928,0.03340459242463112,1.0,0.032870933413505554
166,0.5507407188415527,0.036151666194200516,0.03321898728609085,0.9999999403953552,0.03248884528875351
167,0.5505250096321106,0.03601594269275665,0.033035118132829666,1.0,0.03211703151464462
168,0.550309956073761,0.035882338881492615,0.03285296633839607,1.0,0.03175552934408188
169,0.5500956177711487,0.03575078025460243,0.03267243877053261,1.0,0.031402748078107834
170,0.5498818755149841,0.03562123700976372,0.03249349072575569,0.9999999403953552,0.03106049634516239
171,0.5496688485145569,0.0354936309158802,0.03231608122587204,0.9999999403953552,0.030724836513400078
172,0.5494562983512878,0.0353679284453392,0.03214014694094658,0.9999999403953552,0.030399100854992867
173,0.5492443442344666,0.035244062542915344,0.03196565806865692,1.0,0.03008110634982586
174,0.5490328073501587,0.03512199968099594,0.031792547553777695,1.0,0.029771817848086357
175,0.5488218069076538,0.035001687705516815,0.031620778143405914,1.0,0.029471348971128464
176,0.5486111640930176,0.03488306701183319,0.031450286507606506,1.0,0.029177751392126083
177,0.5484009981155396,0.03476610407233238,0.03128105401992798,1.0,0.028888769447803497
178,0.5481911897659302,0.0346507653594017,0.031113045290112495,0.9999999403953552,0.028608674183487892
179,0.5479817986488342,0.03453700244426727,0.030946189537644386,1.0,0.02833428792655468
180,0.5477727651596069,0.03442476689815521,0.030780479311943054,0.9999999403953552,0.028067588806152344
181,0.5475639700889587,0.034314025193452835,0.030615875497460365,1.0,0.027807869017124176
182,0.547355592250824,0.03420473262667656,0.03045235574245453,1.0,0.027552276849746704
183,0.5471473932266235,0.034096863120794296,0.030289873480796814,1.0,0.027304284274578094
184,0.5469395518302917,0.03399037569761276,0.030128387734293938,1.0,0.027061203494668007
185,0.5467319488525391,0.03388524055480957,0.029967859387397766,1.0,0.02682242915034294
186,0.5465245842933655,0.033781420439481735,0.02980828657746315,1.0,0.026591427624225616
187,0.5463173985481262,0.033678896725177765,0.02964961528778076,0.9999999403953552,0.026362238451838493
188,0.5461104512214661,0.03357762470841408,0.029491836205124855,0.9999999403953552,0.02613932639360428
189,0.5459036827087402,0.03347758203744888,0.029334930703043938,1.0,0.025919796898961067
190,0.5456972122192383,0.03337874263525009,0.029178842902183533,0.9999999403953552,0.02570599503815174
191,0.5454908013343811,0.03328107297420502,0.029023585841059685,1.0,0.025499872863292694
192,0.545284628868103,0.03318453207612038,0.02886909432709217,1.0,0.025295931845903397
